Latitud,Longitud,Calle,Colonia,Municipio,Estado,CP
22.7786293,-102.614044,Plaza La Quemada,No especificada,Zacatecas,Zacatecas,98047
22.7766372,-102.5947443,Calle no registrada,No especificada,Zacatecas,Zacatecas,98047
22.7834423,-102.6030045,Paseo de la Galería,No especificada,Zacatecas,Zacatecas,98047
22.7772559,-102.5712263,Calle Urizar,No especificada,Zacatecas,Zacatecas,98000
22.7719705,-102.5692589,Calle San Luis,No especificada,Zacatecas,Zacatecas,98000
22.7761564,-102.5696264,Calle San Gabriel,No especificada,Zacatecas,Zacatecas,98000
22.7776125,-102.5708078,Calle Segunda de Guerreros,No especificada,Zacatecas,Zacatecas,98000
22.7761352,-102.5687647,Calle Segunda del Tanquecito,No especificada,Zacatecas,Zacatecas,98000
22.7729394,-102.5691902,Calle de la Victoria,No especificada,Zacatecas,Zacatecas,98000
22.7794799,-102.5708121,Calle Urizar,No especificada,Zacatecas,Zacatecas,98000
22.7717158,-102.5705899,Calle de la Victoria,No especificada,Zacatecas,Zacatecas,98000
22.7757585,-102.5681931,Calle Altapalmira,No especificada,Zacatecas,Zacatecas,98000
22.7725153,-102.5706941,Calle Ledesma,No especificada,Zacatecas,Zacatecas,98000
22.7767392,-102.5702767,Calle Rebote de Barbosa,No especificada,Zacatecas,Zacatecas,98000
22.7732067,-102.5633768,Calle Ingeniero Civil,No especificada,Zacatecas,Zacatecas,98000
22.7791958,-102.5699126,Calle Segunda de Buenavista,No especificada,Zacatecas,Zacatecas,98000
22.7714981,-102.5680551,Calle Alemania,No especificada,Zacatecas,Zacatecas,98000
22.7729086,-102.5672111,Calle de la Primavera,No especificada,Zacatecas,Zacatecas,98000
22.77986,-102.5703928,Calle Segunda de Guerreros,No especificada,Zacatecas,Zacatecas,98024
22.7792726,-102.5699007,Calle Segunda de Buenavista,No especificada,Zacatecas,Zacatecas,98000
22.7728867,-102.5652241,Calle Sor Juana Inés de la Cruz,No especificada,Zacatecas,Zacatecas,98000
22.7796011,-102.5708121,Calle Urizar,No especificada,Zacatecas,Zacatecas,98000
22.7735299,-102.5634535,Calle Altapalmira,No especificada,Zacatecas,Zacatecas,98000
22.7737313,-102.5669389,Calle Sor Juana Inés de la Cruz,No especificada,Zacatecas,Zacatecas,98000
22.7738861,-102.5640244,Calle Altapalmira,No especificada,Zacatecas,Zacatecas,98000
22.7789208,-102.5696328,Calle La Bufa,No especificada,Zacatecas,Zacatecas,98024
22.7783437,-102.5704482,Calle Barrio de Buenavista,No especificada,Zacatecas,Zacatecas,98024
22.7720047,-102.5699075,Calle Crucero de San Luis,No especificada,Zacatecas,Zacatecas,98000
22.7766269,-102.5711884,Calle del Deseo,No especificada,Zacatecas,Zacatecas,98000
22.7720574,-102.5692801,Calle San Luis,No especificada,Zacatecas,Zacatecas,98000
22.7742959,-102.5661744,Callejón de las Colonias,No especificada,Zacatecas,Zacatecas,98000
22.7724978,-102.57037,Callejón de los Pirules,No especificada,Zacatecas,Zacatecas,98000
22.7697447,-102.5686923,Callejón Tampico,No especificada,Zacatecas,Zacatecas,98000
22.7730242,-102.5683322,Calle Donato Guerra,No especificada,Zacatecas,Zacatecas,98000
22.7745336,-102.5702682,Calle del Ángel,No especificada,Zacatecas,Zacatecas,98000
22.7738704,-102.5674359,Calle no registrada,No especificada,Zacatecas,Zacatecas,98000
22.7762059,-102.5695254,Calle San Gabriel,No especificada,Zacatecas,Zacatecas,98000
22.7717549,-102.5662737,Calle Amado Nervo,No especificada,Zacatecas,Zacatecas,98000
22.7765222,-102.5688321,Calle Arroyo de la Bufa,No especificada,Zacatecas,Zacatecas,98000
22.7793261,-102.5700103,Calle Segunda de Buenavista,No especificada,Zacatecas,Zacatecas,98000
22.7720404,-102.5663603,Calle Donato Guerra,No especificada,Zacatecas,Zacatecas,98000
22.7777752,-102.5691158,Calle no registrada,No especificada,Zacatecas,Zacatecas,98000
22.7698667,-102.568592,Callejón Tampico,No especificada,Zacatecas,Zacatecas,98000
22.773945,-102.5658486,Calle del Tepozán,No especificada,Zacatecas,Zacatecas,98000
22.7733289,-102.5665785,Calle Sor Juana Inés de la Cruz,No especificada,Zacatecas,Zacatecas,98000
22.770639,-102.5660948,Calle Paseo La Bufa,No especificada,Zacatecas,Zacatecas,98000
22.770463,-102.5676314,Callejón de Peñuela,No especificada,Zacatecas,Zacatecas,98000
22.7769977,-102.5710469,Callejón de Guadalajarita,No especificada,Zacatecas,Zacatecas,98000
22.7773408,-102.5707509,Calle de la Mantequilla,No especificada,Zacatecas,Zacatecas,98000
22.7779302,-102.5701566,Calle Segunda de Buenavista,No especificada,Zacatecas,Zacatecas,98000
22.7747891,-102.5675564,Calle Altapalmira,No especificada,Zacatecas,Zacatecas,98000
22.7735929,-102.5660639,Calle del Tepozán,No especificada,Zacatecas,Zacatecas,98000
22.772346,-102.5656822,Calle Sor Juana Inés de la Cruz,No especificada,Zacatecas,Zacatecas,98000
22.7701066,-102.5731707,Plaza Bicentenario,No especificada,Zacatecas,Zacatecas,98000
22.7709359,-102.571798,Calle Víctor Rosales,No especificada,Zacatecas,Zacatecas,98000
22.7700462,-102.5746256,Avenida Rayón,No especificada,Zacatecas,Zacatecas,98050
22.7704159,-102.5742931,Callejón de Quijano,No especificada,Zacatecas,Zacatecas,98000
22.7668114,-102.5765124,Calle Niños Héroes,No especificada,Zacatecas,Zacatecas,98050
22.7737952,-102.5756107,Calle Fernando Villalpando,No especificada,Zacatecas,Zacatecas,98000
22.7763741,-102.5726354,Avenida Hidalgo,No especificada,Zacatecas,Zacatecas,98000
22.7694939,-102.5720429,Plaza Bicentenario,No especificada,Zacatecas,Zacatecas,98000
22.7717952,-102.5725785,Calle Arroyo de la Plata,No especificada,Zacatecas,Zacatecas,98000
22.7733884,-102.5731327,Calle Allende,No especificada,Zacatecas,Zacatecas,98000
22.7695215,-102.5738201,Callejón del Gigante,No especificada,Zacatecas,Zacatecas,98050
22.7662062,-102.5767662,Avenida Morelos,No especificada,Zacatecas,Zacatecas,98000
22.7696033,-102.5703758,Callejón del Barro,No especificada,Zacatecas,Zacatecas,98000
22.7719726,-102.5715929,Callejón de Aurora,No especificada,Zacatecas,Zacatecas,98000
22.7746882,-102.5724092,Calle Tacuba,No especificada,Zacatecas,Zacatecas,98000
